Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%
James Harden,11,38.5,31.6,9.9,24,41.3,4.4,12.5,35
Kawhi Leonard,24,39.1,30.5,10.1,20.7,49,2.3,6,37.9
Paul George,5,40.8,28.6,8.8,20.2,43.6,3,9.4,31.9
Stephen Curry,22,38.5,28.2,8.6,19.6,44.1,4.2,11.1,37.7
Damian Lillard,16,40.6,26.9,8.6,20.6,41.8,,9.9,37.3
Giannis Antetokounmpo,15,34.3,25.5,8.6,17.4,49.4,1.2,3.7,32.7
Nikola Jokic,14,39.7,25.1,9.4,18.6,50.6,1.6,4,39.3
CJ McCollum,16,39.7,24.7,,21.9,44,2.9,7.3,39.3
Russell Westbrook,5,39.4,22.8,8,22.2,36,2.2,6.8,32.4
DeMar DeRozan,7,35.9,22,8.3,17,48.7,0,0.1,0
James Harden,11,38.5,31.6,9.9,24,41.3,4.4,12.5,35
